Year,ID,ID_direction,seq,Origin,Destination,stocks_origin,stocks_destination,stocks_bilateral,flow_origin,flow_destination,scaled_sci,SP_POP_TOTL_origin,SP_POP_TOTL_destination,SP_TOTOAL_bilateral,Region_origin,Region_destination,Region_sub_origin,Region_sub_destination,Income_origin,Income_destination,flow_region,flow_subregion,flow_income,Code_destination,Code_origin,iso2_origin,iso2_destination
2019,AEDK,AEDK,1,United Arab Emirates,Denmark,594,,6.38687931936265,207,,8.50025047068593,9770529,5818553,15589082,Asia,Europe,Western Asia,Northern Europe,High income,High income,Asia to Europe,Western Asia to Northern Europe,High income to High income,208,784,AE,DK
2019,AEEE,AEEE,1,United Arab Emirates,Estonia,17,,2.83321334405622,10,,8.01928379291679,9770529,1326590,11097119,Asia,Europe,Western Asia,Northern Europe,High income,High income,Asia to Europe,Western Asia to Northern Europe,High income to High income,233,784,AE,EE
2019,AEEG,EGAE,1,Egypt,United Arab Emirates,886291,709,13.6956002612917,61113,211,10.7229369329607,100388073,9770529,110158602,Africa,Asia,Northern Africa,Western Asia,Lower middle income,High income,Africa to Asia,Northern Africa to Western Asia,Lower middle income to High income,784,818,EG,AE
2019,AEEG,AEEG,2,United Arab Emirates,Egypt,709,886291,13.6956002612917,211,61113,10.7229369329607,9770529,100388073,110158602,Asia,Africa,Western Asia,Northern Africa,High income,Lower middle income,Asia to Africa,Western Asia to Northern Africa,High income to Lower middle income,818,784,AE,EG
2019,AEES,AEES,1,United Arab Emirates,Spain,337,,5.82008293035236,11,,8.30992298925832,9770529,47076781,56847310,Asia,Europe,Western Asia,Southern Europe,High income,High income,Asia to Europe,Western Asia to Southern Europe,High income to High income,724,784,AE,ES
2019,AEET,ETAE,1,Ethiopia,United Arab Emirates,10886,,9.29523283899415,750,,11.7676296969248,112078730,9770529,121849259,Africa,Asia,Sub-Saharan Africa,Western Asia,Low income,High income,Africa to Asia,Sub-Saharan Africa to Western Asia,Low income to High income,784,231,ET,AE
2019,AEFI,AEFI,1,United Arab Emirates,Finland,268,,5.59098698051086,92,,8.17835816560584,9770529,5520314,15290843,Asia,Europe,Western Asia,Northern Europe,High income,High income,Asia to Europe,Western Asia to Northern Europe,High income to High income,246,784,AE,FI
2019,AEFR,FRAE,1,France,United Arab Emirates,17874,862,9.8382020858375,1232,47,8.4252971767117,67059887,9770529,76830416,Europe,Asia,Western Europe,Western Asia,High income,High income,Europe to Asia,Western Europe to Western Asia,High income to High income,784,250,FR,AE
2019,AEFR,AEFR,2,United Arab Emirates,France,862,17874,9.8382020858375,47,1232,8.4252971767117,9770529,67059887,76830416,Asia,Europe,Western Asia,Western Europe,High income,High income,Asia to Europe,Western Asia to Western Europe,High income to High income,250,784,AE,FR
2019,AEGB,AEGB,1,United Arab Emirates,United Kingdom,11896,28760,10.6129017055599,1420,1983,9.62450089845157,9770529,66834405,76604934,Asia,Europe,Western Asia,Northern Europe,High income,High income,Asia to Europe,Western Asia to Northern Europe,High income to High income,826,784,AE,GB
2019,AEGB,GBAE,2,United Kingdom,United Arab Emirates,28760,11896,10.6129017055599,1983,1420,9.62450089845157,66834405,9770529,76604934,Europe,Asia,Northern Europe,Western Asia,High income,High income,Europe to Asia,Northern Europe to Western Asia,High income to High income,784,826,GB,AE
2019,AEGR,AEGR,1,United Arab Emirates,Greece,83,,4.4188406077966,-2,,9.65816229616317,9770529,10716322,20486851,Asia,Europe,Western Asia,Southern Europe,High income,High income,Asia to Europe,Western Asia to Southern Europe,High income to High income,300,784,AE,GR
2019,AEHU,AEHU,1,United Arab Emirates,Hungary,421,,6.04263283368238,140,,7.84384863815247,9770529,9769949,19540478,Asia,Europe,Western Asia,Eastern Europe,High income,High income,Asia to Europe,Western Asia to Eastern Europe,High income to High income,348,784,AE,HU
2019,AEID,IDAE,1,Indonesia,United Arab Emirates,314089,,12.6574316642195,21657,,8.74989095553526,270625568,9770529,280396097,Asia,Asia,South-eastern Asia,Western Asia,Upper middle income,High income,Asia to Asia,South-eastern Asia to Western Asia,Upper middle income to High income,784,360,ID,AE
2019,AEIE,AEIE,1,United Arab Emirates,Ireland,220,,5.39362754635236,19,,9.93163759595247,9770529,4941444,14711973,Asia,Europe,Western Asia,Northern Europe,High income,High income,Asia to Europe,Western Asia to Northern Europe,High income to High income,372,784,AE,IE
2019,AEIN,INAE,1,India,United Arab Emirates,3419875,11779,15.0485529186569,235832,-198,10.7149065381741,1366417754,9770529,1376188283,Asia,Asia,Southern Asia,Western Asia,Lower middle income,High income,Asia to Asia,Southern Asia to Western Asia,Lower middle income to High income,784,356,IN,AE
2019,AEIN,AEIN,2,United Arab Emirates,India,11779,3419875,15.0485529186569,-198,235832,10.7149065381741,9770529,1366417754,1376188283,Asia,Asia,Western Asia,Southern Asia,High income,Lower middle income,Asia to Asia,Western Asia to Southern Asia,High income to Lower middle income,356,784,AE,IN
2019,AEIS,AEIS,1,United Arab Emirates,Iceland,7,,1.94591014905531,1,,8.56845648535378,9770529,361313,10131842,Asia,Europe,Western Asia,Northern Europe,High income,High income,Asia to Europe,Western Asia to Northern Europe,High income to High income,352,784,AE,IS
2019,AEIT,AEIT,1,United Arab Emirates,Italy,498,,6.21060007702465,124,,8.84072491676172,9770529,60297396,70067925,Asia,Europe,Western Asia,Southern Europe,High income,High income,Asia to Europe,Western Asia to Southern Europe,High income to High income,380,784,AE,IT
2019,AEJO,JOAE,1,Jordan,United Arab Emirates,166467,218,12.0238610826867,11478,15,11.1869044238476,10101694,9770529,19872223,Asia,Asia,Western Asia,Western Asia,Upper middle income,High income,Asia to Asia,Western Asia to Western Asia,Upper middle income to High income,784,400,JO,AE
2019,AEJO,AEJO,2,United Arab Emirates,Jordan,218,166467,12.0238610826867,15,11478,11.1869044238476,9770529,10101694,19872223,Asia,Asia,Western Asia,Western Asia,High income,Upper middle income,Asia to Asia,Western Asia to Western Asia,High income to Upper middle income,400,784,AE,JO
2019,AEKW,KWAE,1,Kuwait,United Arab Emirates,66526,26113,11.4364654982753,4587,1451,12.0375652325696,4207083,9770529,13977612,Asia,Asia,Western Asia,Western Asia,High income,High income,Asia to Asia,Western Asia to Western Asia,High income to High income,784,414,KW,AE
2019,AEKW,AEKW,2,United Arab Emirates,Kuwait,26113,66526,11.4364654982753,1451,4587,12.0375652325696,9770529,4207083,13977612,Asia,Asia,Western Asia,Western Asia,High income,High income,Asia to Asia,Western Asia to Western Asia,High income to High income,414,784,AE,KW
2019,AELB,LBAE,1,Lebanon,United Arab Emirates,41293,,10.6284482730584,2847,,11.4141101493484,6855713,9770529,16626242,Asia,Asia,Western Asia,Western Asia,Upper middle income,High income,Asia to Asia,Western Asia to Western Asia,Upper middle income to High income,784,422,LB,AE
2019,AELK,LKAE,1,Sri Lanka,United Arab Emirates,118708,1689,11.6985498946029,8185,13,11.4181861222074,21803000,9770529,31573529,Asia,Asia,Southern Asia,Western Asia,Lower middle income,High income,Asia to Asia,Southern Asia to Western Asia,Lower middle income to High income,784,144,LK,AE
2019,AELK,AELK,2,United Arab Emirates,Sri Lanka,1689,118708,11.6985498946029,13,8185,11.4181861222074,9770529,21803000,31573529,Asia,Asia,Western Asia,Southern Asia,High income,Lower middle income,Asia to Asia,Western Asia to Southern Asia,High income to Lower middle income,144,784,AE,LK
2019,AELT,AELT,1,United Arab Emirates,Lithuania,36,,3.58351893845611,1,,7.84502441724148,9770529,2786844,12557373,Asia,Europe,Western Asia,Northern Europe,High income,High income,Asia to Europe,Western Asia to Northern Europe,High income to High income,440,784,AE,LT
2019,AELV,AELV,1,United Arab Emirates,Latvia,18,,2.89037175789616,6,,8.12118324207883,9770529,1912789,11683318,Asia,Europe,Western Asia,Northern Europe,High income,High income,Asia to Europe,Western Asia to Northern Europe,High income to High income,428,784,AE,LV
2019,AELY,AELY,1,United Arab Emirates,Libya,2944,,7.98752447984877,169,,9.10342308963011,9770529,6777452,16547981,Asia,Africa,Western Asia,Northern Africa,High income,Upper middle income,Asia to Africa,Western Asia to Northern Africa,High income to Upper middle income,434,784,AE,LY
2019,AEMA,MAAE,1,Morocco,United Arab Emirates,8811,,9.08375621986673,607,,9.65329392449534,36471769,9770529,46242298,Africa,Asia,Northern Africa,Western Asia,Lower middle income,High income,Africa to Asia,Northern Africa to Western Asia,Lower middle income to High income,784,504,MA,AE
2019,AEML,AEML,1,United Arab Emirates,Mali,3428,,8.13973227971767,349,,8.41935983106747,9770529,19658031,29428560,Asia,Africa,Western Asia,Sub-Saharan Africa,High income,Low income,Asia to Africa,Western Asia to Sub-Saharan Africa,High income to Low income,466,784,AE,ML
2019,AEMR,AEMR,1,United Arab Emirates,Mauritania,70,,4.24849524204936,2,,10.5092778418778,9770529,4525696,14296225,Asia,Africa,Western Asia,Sub-Saharan Africa,High income,Lower middle income,Asia to Africa,Western Asia to Sub-Saharan Africa,High income to Lower middle income,478,784,AE,MR
2019,AEMT,AEMT,1,United Arab Emirates,Malta,56,,4.02535169073515,21,,10.578954352241,9770529,502653,10273182,Asia,Europe,Western Asia,Southern Europe,High income,High income,Asia to Europe,Western Asia to Southern Europe,High income to High income,470,784,AE,MT
2019,AENG,NGAE,1,Nigeria,United Arab Emirates,15465,,9.64633468511917,1066,,10.3329621131046,200963599,9770529,210734128,Africa,Asia,Sub-Saharan Africa,Western Asia,Lower middle income,High income,Africa to Asia,Sub-Saharan Africa to Western Asia,Lower middle income to High income,784,566,NG,AE
2019,AENL,NLAE,1,Netherlands,United Arab Emirates,3110,1541,8.4448375292241,214,799,8.58615939588096,17332850,9770529,27103379,Europe,Asia,Western Europe,Western Asia,High income,High income,Europe to Asia,Western Europe to Western Asia,High income to High income,784,528,NL,AE
2019,AENL,AENL,2,United Arab Emirates,Netherlands,1541,3110,8.4448375292241,799,214,8.58615939588096,9770529,17332850,27103379,Asia,Europe,Western Asia,Western Europe,High income,High income,Asia to Europe,Western Asia to Western Europe,High income to High income,528,784,AE,NL
2019,AENO,AENO,1,United Arab Emirates,Norway,553,,6.31535800152234,116,,8.65381978894806,9770529,5347896,15118425,Asia,Europe,Western Asia,Northern Europe,High income,High income,Asia to Europe,Western Asia to Northern Europe,High income to High income,578,784,AE,NO
2019,AENP,NPAE,1,Nepal,United Arab Emirates,27474,,10.2209953818852,1894,,11.8700263181967,28608710,9770529,38379239,Asia,Asia,Southern Asia,Western Asia,Lower middle income,High income,Asia to Asia,Southern Asia to Western Asia,Lower middle income to High income,784,524,NP,AE
2019,AEOM,AEOM,1,United Arab Emirates,Oman,18287,,9.81394570387463,3439,,12.6124273578232,9770529,4974986,14745515,Asia,Asia,Western Asia,Western Asia,High income,High income,Asia to Asia,Western Asia to Western Asia,High income to High income,512,784,AE,OM
2019,AEPH,PHAE,1,Philippines,United Arab Emirates,556407,444,13.2300529786354,38366,13,11.2062644259206,108116615,9770529,117887144,Asia,Asia,South-eastern Asia,Western Asia,Lower middle income,High income,Asia to Asia,South-eastern Asia to Western Asia,Lower middle income to High income,784,608,PH,AE
2019,AEPH,AEPH,2,United Arab Emirates,Philippines,444,556407,13.2300529786354,13,38366,11.2062644259206,9770529,108116615,117887144,Asia,Asia,Western Asia,South-eastern Asia,High income,Lower middle income,Asia to Asia,Western Asia to South-eastern Asia,High income to Lower middle income,608,784,AE,PH
2019,AEPK,PKAE,1,Pakistan,United Arab Emirates,981536,,13.7968739705792,67681,,12.3146938393942,216565318,9770529,226335847,Asia,Asia,Southern Asia,Western Asia,Lower middle income,High income,Asia to Asia,Southern Asia to Western Asia,Lower middle income to High income,784,586,PK,AE
2019,AEPL,AEPL,1,United Arab Emirates,Poland,132,,4.88280192258637,7,,7.33888813383888,9770529,37970874,47741403,Asia,Europe,Western Asia,Eastern Europe,High income,High income,Asia to Europe,Western Asia to Eastern Europe,High income to High income,616,784,AE,PL
2019,AEQA,QAAE,1,Qatar,United Arab Emirates,2633,9875,9.43412371857773,181,193,12.736300816571,2832067,9770529,12602596,Asia,Asia,Western Asia,Western Asia,High income,High income,Asia to Asia,Western Asia to Western Asia,High income to High income,784,634,QA,AE
2019,AEQA,AEQA,2,United Arab Emirates,Qatar,9875,2633,9.43412371857773,193,181,12.736300816571,9770529,2832067,12602596,Asia,Asia,Western Asia,Western Asia,High income,High income,Asia to Asia,Western Asia to Western Asia,High income to High income,634,784,AE,QA
2019,AERO,AERO,1,United Arab Emirates,Romania,296,,5.69035945432406,283,,8.4211227226655,9770529,19356544,29127073,Asia,Europe,Western Asia,Eastern Europe,High income,High income,Asia to Europe,Western Asia to Eastern Europe,High income to High income,642,784,AE,RO
2019,AERS,AERS,1,United Arab Emirates,Serbia,24,,3.17805383034795,0,,9.11975899374495,9770529,6944975,16715504,Asia,Europe,Western Asia,Southern Europe,High income,Upper middle income,Asia to Europe,Western Asia to Southern Europe,High income to Upper middle income,688,784,AE,RS
2019,AESA,SAAE,1,Saudi Arabia,United Arab Emirates,6483,,8.776938645175,447,,12.0773695777623,34268528,9770529,44039057,Asia,Asia,Western Asia,Western Asia,High income,High income,Asia to Asia,Western Asia to Western Asia,High income to High income,784,682,SA,AE
2019,AESE,AESE,1,United Arab Emirates,Sweden,4764,,8.46884293047519,2987,,8.94871583384369,9770529,10285453,20055982,Asia,Europe,Western Asia,Northern Europe,High income,High income,Asia to Europe,Western Asia to Northern Europe,High income to High income,752,784,AE,SE
2019,AESI,AESI,1,United Arab Emirates,Slovenia,12,,2.484906649788,0,,8.09132127353041,9770529,2087946,11858475,Asia,Europe,Western Asia,Southern Europe,High income,High income,Asia to Europe,Western Asia to Southern Europe,High income to High income,705,784,AE,SI
2019,AESK,AESK,1,United Arab Emirates,Slovakia,103,,4.63472898822964,28,,7.65302041380419,9770529,5454073,15224602,Asia,Europe,Western Asia,Eastern Europe,High income,High income,Asia to Europe,Western Asia to Eastern Europe,High income to High income,703,784,AE,SK
2019,AETD,TDAE,1,Chad,United Arab Emirates,5272,,8.57016507618234,363,,9.51273862826364,15946876,9770529,25717405,Africa,Asia,Sub-Saharan Africa,Western Asia,Low income,High income,Africa to Asia,Sub-Saharan Africa to Western Asia,Low income to High income,784,148,TD,AE
2019,AETH,THAE,1,Thailand,United Arab Emirates,12630,,9.44383021534454,870,,7.76726399675731,69625582,9770529,79396111,Asia,Asia,South-eastern Asia,Western Asia,Upper middle income,High income,Asia to Asia,South-eastern Asia to Western Asia,Upper middle income to High income,784,764,TH,AE
2019,AETN,TNAE,1,Tunisia,United Arab Emirates,5788,,8.66354208775137,399,,9.43059976811053,11694719,9770529,21465248,Africa,Asia,Northern Africa,Western Asia,Lower middle income,High income,Africa to Asia,Northern Africa to Western Asia,Lower middle income to High income,784,788,TN,AE
2019,AETR,TRAE,1,Turkey,United Arab Emirates,37621,58,10.53685818906,2594,15,8.54946675196653,83429615,9770529,93200144,Asia,Asia,Western Asia,Western Asia,Upper middle income,High income,Asia to Asia,Western Asia to Western Asia,Upper middle income to High income,784,792,TR,AE
2019,AETR,AETR,2,United Arab Emirates,Turkey,58,37621,10.53685818906,15,2594,8.54946675196653,9770529,83429615,93200144,Asia,Asia,Western Asia,Western Asia,High income,Upper middle income,Asia to Asia,Western Asia to Western Asia,High income to Upper middle income,792,784,AE,TR
2019,AEUS,AEUS,1,United Arab Emirates,United States of America,13411,15390,10.2681653877435,992,1061,8.35608503102148,9770529,328239523,338010052,Asia,Americas,Western Asia,Northern America,High income,High income,Asia to Americas,Western Asia to Northern America,High income to High income,840,784,AE,US
2019,AEUS,USAE,2,United States of America,United Arab Emirates,15390,13411,10.2681653877435,1061,992,8.35608503102148,328239523,9770529,338010052,Americas,Asia,Northern America,Western Asia,High income,High income,Americas to Asia,Northern America to Western Asia,High income to High income,784,840,US,AE
2019,AEZA,AEZA,1,United Arab Emirates,South Africa,308,,5.73009978297357,32,,8.85922139360813,9770529,58558270,68328799,Asia,Africa,Western Asia,Sub-Saharan Africa,High income,Upper middle income,Asia to Africa,Western Asia to Sub-Saharan Africa,High income to Upper middle income,710,784,AE,ZA
2019,AGAT,AGAT,1,Antigua and Barbuda,Austria,8,,2.07944154167984,1,,8.38045666784277,97118,8877067,8974185,Americas,Europe,Latin America and the Caribbean,Western Europe,High income,High income,Americas to Europe,Latin America and the Caribbean to Western Europe,High income to High income,40,28,AG,AT
2019,AGAU,AGAU,1,Antigua and Barbuda,Australia,63,7,4.24849524204936,3,0,8.50673873351238,97118,25364307,25461425,Americas,Oceania,Latin America and the Caribbean,Australia and New Zealand,High income,High income,Americas to Oceania,Latin America and the Caribbean to Australia and New Zealand,High income to High income,36,28,AG,AU
2019,AGAU,AUAG,2,Australia,Antigua and Barbuda,7,63,4.24849524204936,0,3,8.50673873351238,25364307,97118,25461425,Oceania,Americas,Australia and New Zealand,Latin America and the Caribbean,High income,High income,Oceania to Americas,Australia and New Zealand to Latin America and the Caribbean,High income to High income,28,36,AU,AG
2019,AGAW,AWAG,1,Aruba,Antigua and Barbuda,5,,1.6094379124341,0,,12.0786028442842,106314,97118,203432,Americas,Americas,Latin America and the Caribbean,Latin America and the Caribbean,High income,High income,Americas to Americas,Latin America and the Caribbean to Latin America and the Caribbean,High income to High income,28,533,AW,AG
2019,AGBB,AGBB,1,Antigua and Barbuda,Barbados,195,314,6.23244801655052,1,12,14.9525025010667,97118,287025,384143,Americas,Americas,Latin America and the Caribbean,Latin America and the Caribbean,High income,High income,Americas to Americas,Latin America and the Caribbean to Latin America and the Caribbean,High income to High income,52,28,AG,BB
2019,AGBB,BBAG,2,Barbados,Antigua and Barbuda,314,195,6.23244801655052,12,1,14.9525025010667,287025,97118,384143,Americas,Americas,Latin America and the Caribbean,Latin America and the Caribbean,High income,High income,Americas to Americas,Latin America and the Caribbean to Latin America and the Caribbean,High income to High income,28,52,BB,AG
2019,AGBG,AGBG,1,Antigua and Barbuda,Bulgaria,5,,1.6094379124341,0,,6.81892406527552,97118,6975761,7072879,Americas,Europe,Latin America and the Caribbean,Eastern Europe,High income,Upper middle income,Americas to Europe,Latin America and the Caribbean to Eastern Europe,High income to Upper middle income,100,28,AG,BG
2019,AGBS,AGBS,1,Antigua and Barbuda,Bahamas,14,2,2.77258872223978,0,0,13.4592983640831,97118,389482,486600,Americas,Americas,Latin America and the Caribbean,Latin America and the Caribbean,High income,High income,Americas to Americas,Latin America and the Caribbean to Latin America and the Caribbean,High income to High income,44,28,AG,BS
2019,AGBS,BSAG,2,Bahamas,Antigua and Barbuda,2,14,2.77258872223978,0,0,13.4592983640831,389482,97118,486600,Americas,Americas,Latin America and the Caribbean,Latin America and the Caribbean,High income,High income,Americas to Americas,Latin America and the Caribbean to Latin America and the Caribbean,High income to High income,28,44,BS,AG
2019,AGBZ,BZAG,1,Belize,Antigua and Barbuda,14,,2.63905732961526,0,,12.4427758478421,390353,97118,487471,Americas,Americas,Latin America and the Caribbean,Latin America and the Caribbean,Upper middle income,High income,Americas to Americas,Latin America and the Caribbean to Latin America and the Caribbean,Upper middle income to High income,28,84,BZ,AG
2019,AGCA,AGCA,1,Antigua and Barbuda,Canada,2459,451,7.97590836016554,164,17,11.3123258780909,97118,37589262,37686380,Americas,Americas,Latin America and the Caribbean,Northern America,High income,High income,Americas to Americas,Latin America and the Caribbean to Northern America,High income to High income,124,28,AG,CA
2019,AGCA,CAAG,2,Canada,Antigua and Barbuda,451,2459,7.97590836016554,17,164,11.3123258780909,37589262,97118,37686380,Americas,Americas,Northern America,Latin America and the Caribbean,High income,High income,Americas to Americas,Northern America to Latin America and the Caribbean,High income to High income,28,124,CA,AG
2019,AGCH,AGCH,1,Antigua and Barbuda,Switzerland,66,,4.18965474202643,-15,,9.16387749756584,97118,8574832,8671950,Americas,Europe,Latin America and the Caribbean,Western Europe,High income,High income,Americas to Europe,Latin America and the Caribbean to Western Europe,High income to High income,756,28,AG,CH
2019,AGCL,AGCL,1,Antigua and Barbuda,Chile,48,,3.87120101090789,12,,7.86710550031674,97118,18952038,19049156,Americas,Americas,Latin America and the Caribbean,Latin America and the Caribbean,High income,High income,Americas to Americas,Latin America and the Caribbean to Latin America and the Caribbean,High income to High income,152,28,AG,CL
2019,AGCO,AGCO,1,Antigua and Barbuda,Colombia,41,,3.71357206670431,0,,7.6425241342329,97118,50339443,50436561,Americas,Americas,Latin America and the Caribbean,Latin America and the Caribbean,High income,Upper middle income,Americas to Americas,Latin America and the Caribbean to Latin America and the Caribbean,High income to Upper middle income,170,28,AG,CO
2019,AGCW,AGCW,1,Antigua and Barbuda,Curaçao,58,19,4.34380542185368,4,0,12.5980302702798,97118,157538,254656,Americas,Americas,Latin America and the Caribbean,Latin America and the Caribbean,High income,High income,Americas to Americas,Latin America and the Caribbean to Latin America and the Caribbean,High income to High income,531,28,AG,CW
2019,AGCW,CWAG,2,Curaçao,Antigua and Barbuda,19,58,4.34380542185368,0,4,12.5980302702798,157538,97118,254656,Americas,Americas,Latin America and the Caribbean,Latin America and the Caribbean,High income,High income,Americas to Americas,Latin America and the Caribbean to Latin America and the Caribbean,High income to High income,28,531,CW,AG
2019,AGCZ,AGCZ,1,Antigua and Barbuda,Czechia,6,,1.79175946922806,2,,6.60800062529609,97118,10669709,10766827,Americas,Europe,Latin America and the Caribbean,Eastern Europe,High income,High income,Americas to Europe,Latin America and the Caribbean to Eastern Europe,High income to High income,203,28,AG,CZ
2019,AGDE,DEAG,1,Germany,Antigua and Barbuda,86,,4.45434729625351,3,,8.00235954625271,83132799,97118,83229917,Europe,Americas,Western Europe,Latin America and the Caribbean,High income,High income,Europe to Americas,Western Europe to Latin America and the Caribbean,High income to High income,28,276,DE,AG
2019,AGDK,AGDK,1,Antigua and Barbuda,Denmark,4,,1.38629436111989,1,,7.83913164827433,97118,5818553,5915671,Americas,Europe,Latin America and the Caribbean,Northern Europe,High income,High income,Americas to Europe,Latin America and the Caribbean to Northern Europe,High income to High income,208,28,AG,DK
2019,AGDO,AGDO,1,Antigua and Barbuda,Dominican Republic,184,1855,7.62021477057446,5,71,12.4584370779193,97118,10738958,10836076,Americas,Americas,Latin America and the Caribbean,Latin America and the Caribbean,High income,Upper middle income,Americas to Americas,Latin America and the Caribbean to Latin America and the Caribbean,High income to Upper middle income,214,28,AG,DO
2019,AGDO,DOAG,2,Dominican Republic,Antigua and Barbuda,1855,184,7.62021477057446,71,5,12.4584370779193,10738958,97118,10836076,Americas,Americas,Latin America and the Caribbean,Latin America and the Caribbean,Upper middle income,High income,Americas to Americas,Latin America and the Caribbean to Latin America and the Caribbean,Upper middle income to High income,28,214,DO,AG
2019,AGEE,AGEE,1,Antigua and Barbuda,Estonia,5,,1.6094379124341,3,,8.87150534616578,97118,1326590,1423708,Americas,Europe,Latin America and the Caribbean,Northern Europe,High income,High income,Americas to Europe,Latin America and the Caribbean to Northern Europe,High income to High income,233,28,AG,EE
2019,AGEG,AGEG,1,Antigua and Barbuda,Egypt,15,10,3.2188758248682,4,0,6.94408720822953,97118,100388073,100485191,Americas,Africa,Latin America and the Caribbean,Northern Africa,High income,Lower middle income,Americas to Africa,Latin America and the Caribbean to Northern Africa,High income to Lower middle income,818,28,AG,EG
2019,AGEG,EGAG,2,Egypt,Antigua and Barbuda,10,15,3.2188758248682,0,4,6.94408720822953,100388073,97118,100485191,Africa,Americas,Northern Africa,Latin America and the Caribbean,Lower middle income,High income,Africa to Americas,Northern Africa to Latin America and the Caribbean,Lower middle income to High income,28,818,EG,AG
2019,AGES,ESAG,1,Spain,Antigua and Barbuda,12,,2.484906649788,0,,8.73745258755058,47076781,97118,47173899,Europe,Americas,Southern Europe,Latin America and the Caribbean,High income,High income,Europe to Americas,Southern Europe to Latin America and the Caribbean,High income to High income,28,724,ES,AG
